Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
02-APR-2018,15.7575,16.45,15.1975,15.3475,15.7575,-0.41,-2.60
03-APR-2018,15.3475,15.775,14.8775,15.185,15.3475,-0.16,-1.06
04-APR-2018,15.185,16.485,13.6825,16.34,15.185,1.15,7.61
05-APR-2018,16.34,16.34,13.8625,14.7975,16.34,-1.54,-9.44
06-APR-2018,14.7975,15.155,13.01,14.7475,14.7975,-0.05,-0.34
09-APR-2018,14.7475,15.1375,14.46,14.8675,14.7475,0.12,0.81
10-APR-2018,14.8675,14.8675,14.005,14.4975,14.8675,-0.37,-2.49
11-APR-2018,14.4975,14.9075,12.74,14.72,14.4975,0.22,1.53
12-APR-2018,14.72,14.9925,11.8075,14.56,14.72,-0.16,-1.09
13-APR-2018,14.56,14.56,13.45,14.14,14.56,-0.42,-2.88
16-APR-2018,14.14,14.8625,13.41,14.26,14.14,0.12,0.85
17-APR-2018,14.26,14.3975,13.3475,14.0425,14.26,-0.22,-1.53
18-APR-2018,14.0425,14.3675,13.165,14.11,14.0425,0.07,0.48
19-APR-2018,14.11,14.11,12.5025,13.7475,14.11,-0.36,-2.57
20-APR-2018,13.7475,13.765,9.7425,12.9375,13.7475,-0.81,-5.89
23-APR-2018,12.9375,13.4925,11.53,13.145,12.9375,0.21,1.60
24-APR-2018,13.145,13.3875,11.4875,11.895,13.145,-1.25,-9.51
25-APR-2018,11.895,13.315,11.895,12.395,11.895,0.50,4.20
26-APR-2018,12.395,13.58,11.7425,12.0375,12.395,-0.36,-2.88
27-APR-2018,12.0375,12.6325,11.4375,12.0175,12.0375,-0.02,-0.17
30-APR-2018,12.0175,12.5525,12.0175,12.3625,12.0175,0.35,2.87
02-MAY-2018,12.3625,13.1975,12.3625,12.84,12.3625,0.48,3.86
03-MAY-2018,12.84,13.2075,12.47,12.985,12.84,0.14,1.13
04-MAY-2018,12.985,13.455,10.9875,13.25,12.985,0.27,2.04
07-MAY-2018,13.25,13.9625,12.8275,13.76,13.25,0.51,3.85
08-MAY-2018,13.76,14.435,11.0925,14.055,13.76,0.29,2.14
09-MAY-2018,14.055,14.5575,12.1225,14.2725,14.055,0.22,1.55
10-MAY-2018,14.2725,14.65,12.5625,14.425,14.2725,0.15,1.07
11-MAY-2018,14.425,14.82,13.0025,13.9775,14.425,-0.45,-3.10
14-MAY-2018,13.9775,14.4975,12.1075,14.245,13.9775,0.27,1.91
15-MAY-2018,14.245,14.245,11.4875,13.165,14.245,-1.08,-7.58
16-MAY-2018,13.165,13.645,10.855,13.435,13.165,0.27,2.05
17-MAY-2018,13.435,13.68,11.09,13.4075,13.435,-0.03,-0.20
18-MAY-2018,13.4075,14.3525,11.6125,14.15,13.4075,0.74,5.54
21-MAY-2018,14.15,14.5375,11.755,14.41,14.15,0.26,1.84
22-MAY-2018,14.41,14.41,11.745,13.6025,14.41,-0.81,-5.60
23-MAY-2018,13.6025,14.9425,11.8825,14.1575,13.6025,0.56,4.08
24-MAY-2018,14.1575,14.2225,10.8975,13.145,14.1575,-1.01,-7.15
25-MAY-2018,13.145,13.17,11.0025,12.645,13.145,-0.50,-3.80
28-MAY-2018,12.645,13.1475,11.3475,13.055,12.645,0.41,3.24
29-MAY-2018,13.055,13.8675,11.975,13.07,13.055,0.02,0.11
30-MAY-2018,13.07,13.85,12.1825,13.41,13.07,0.34,2.60
31-MAY-2018,13.41,14.2325,12.1325,13.2225,13.41,-0.19,-1.40
01-JUN-2018,13.2225,14.59,12.1575,13.57,13.2225,0.35,2.63
04-JUN-2018,13.57,15.47,12.1825,13.8825,13.57,0.31,2.30
05-JUN-2018,13.8825,14.49,13.1325,13.315,13.8825,-0.57,-4.09
06-JUN-2018,13.315,13.51,12.1475,12.55,13.315,-0.76,-5.75
07-JUN-2018,12.55,13.65,11.6125,12.7775,12.55,0.23,1.81
08-JUN-2018,12.7775,13.1675,10.8025,12.6975,12.7775,-0.08,-0.63
11-JUN-2018,12.6975,13.82,11.3225,13.18,12.6975,0.48,3.80
12-JUN-2018,13.18,13.8975,10.445,12.73,13.18,-0.45,-3.41
13-JUN-2018,12.73,13.14,11.22,12.635,12.73,-0.10,-0.75
14-JUN-2018,12.635,12.635,10.43,12.095,12.635,-0.54,-4.27
15-JUN-2018,12.095,12.5075,10.495,12.07,12.095,-0.03,-0.21
18-JUN-2018,12.07,12.55,9.825,12.38,12.07,0.31,2.57
19-JUN-2018,12.38,13,11.4775,12.92,12.38,0.54,4.36
20-JUN-2018,12.92,12.92,10.6075,12.1725,12.92,-0.75,-5.79
21-JUN-2018,12.1725,12.59,10.91,12.4475,12.1725,0.28,2.26
22-JUN-2018,12.4475,12.5425,10.3925,12.0225,12.4475,-0.42,-3.41
25-JUN-2018,12.0225,12.7775,9.74,12.5825,12.0225,0.56,4.66
26-JUN-2018,12.5825,12.97,12.3325,12.7975,12.5825,0.21,1.71
27-JUN-2018,12.7975,13.8125,12.085,13.51,12.7975,0.71,5.57
28-JUN-2018,13.51,14.075,12.52,13.9475,13.51,0.44,3.24
29-JUN-2018,13.9475,13.9475,12.6325,12.9375,13.9475,-1.01,-7.24
02-JUL-2018,12.9375,13.9425,12.465,13.37,12.9375,0.43,3.34
03-JUL-2018,13.37,13.7525,12.1875,13,13.37,-0.37,-2.77
04-JUL-2018,13,13.34,12.575,12.6575,13,-0.34,-2.63
05-JUL-2018,12.6575,12.9525,11.225,12.575,12.6575,-0.08,-0.65
06-JUL-2018,12.575,12.68,11.6675,12.4425,12.575,-0.13,-1.05
09-JUL-2018,12.4425,12.575,11.215,12.39,12.4425,-0.05,-0.42
10-JUL-2018,12.39,12.52,11.0175,12.395,12.39,0.00,0.04
11-JUL-2018,12.395,12.86,10.015,12.775,12.395,0.38,3.07
12-JUL-2018,12.775,12.865,10.6525,12.505,12.775,-0.27,-2.11
13-JUL-2018,12.505,12.505,11.3175,12.3025,12.505,-0.20,-1.62
16-JUL-2018,12.3025,13.0475,11.1675,12.9475,12.3025,0.64,5.24
17-JUL-2018,12.9475,12.9475,11.24,12.825,12.9475,-0.12,-0.95
18-JUL-2018,12.825,13.9,10.645,13.6825,12.825,0.86,6.69
19-JUL-2018,13.6825,13.7975,10.99,13.5925,13.6825,-0.09,-0.66
20-JUL-2018,13.5925,13.9025,11.3175,13.535,13.5925,-0.06,-0.42
23-JUL-2018,13.535,13.62,12.0675,13.005,13.535,-0.53,-3.92
24-JUL-2018,13.005,13.08,12.1475,12.4675,13.005,-0.54,-4.13
25-JUL-2018,12.4675,13.255,11.215,12.2075,12.4675,-0.26,-2.09
26-JUL-2018,12.2075,13.0475,11.6075,12.0275,12.2075,-0.18,-1.47
27-JUL-2018,12.0275,12.5,11.2475,12.31,12.0275,0.28,2.35
30-JUL-2018,12.31,13.0575,12.3075,12.585,12.31,0.28,2.23
31-JUL-2018,12.585,12.795,12.2875,12.48,12.585,-0.11,-0.83
01-AUG-2018,12.48,12.765,11.9975,12.53,12.48,0.05,0.40
02-AUG-2018,12.53,12.8,10.8875,12.555,12.53,0.03,0.20
03-AUG-2018,12.555,12.555,10.9075,12.0775,12.555,-0.48,-3.80
06-AUG-2018,12.0775,12.735,11.85,12.5625,12.0775,0.48,4.02
07-AUG-2018,12.5625,12.82,10.5825,12.5775,12.5625,0.02,0.12
08-AUG-2018,12.5775,12.7825,10.48,12.54,12.5775,-0.04,-0.30
09-AUG-2018,12.54,12.76,10.8775,12.6775,12.54,0.14,1.10
10-AUG-2018,12.6775,12.985,10.0575,12.85,12.6775,0.17,1.36
13-AUG-2018,12.85,13.5,11.29,13.4,12.85,0.55,4.28
14-AUG-2018,13.4,13.42,10.755,13.2825,13.4,-0.12,-0.88
16-AUG-2018,13.2825,13.865,11.465,13.645,13.2825,0.36,2.73
17-AUG-2018,13.645,13.645,10.3025,13.16,13.645,-0.48,-3.55
20-AUG-2018,13.16,13.55,11.345,13.0325,13.16,-0.13,-0.97
21-AUG-2018,13.0325,13.635,9.9275,12.9025,13.0325,-0.13,-1.00
23-AUG-2018,12.9025,13.1175,9.53,12.7575,12.9025,-0.14,-1.12
24-AUG-2018,12.7575,12.8375,9.43,12.4075,12.7575,-0.35,-2.74
27-AUG-2018,12.4075,12.5325,9.515,12.2375,12.4075,-0.17,-1.37
28-AUG-2018,12.2375,12.6,10.3775,12.425,12.2375,0.19,1.53
29-AUG-2018,12.425,12.6725,10.725,12.435,12.425,0.01,0.08
30-AUG-2018,12.435,12.625,10.6225,12.4125,12.435,-0.02,-0.18
31-AUG-2018,12.4125,12.7975,11.6,12.5975,12.4125,0.19,1.49
03-SEP-2018,12.5975,13.7175,11.17,13.3925,12.5975,0.79,6.31
04-SEP-2018,13.3925,13.88,12.1975,13.7825,13.3925,0.39,2.91
05-SEP-2018,13.7825,14.1525,11.9525,13.65,13.7825,-0.13,-0.96
06-SEP-2018,13.65,14.2,12.06,13.7225,13.65,0.07,0.53
07-SEP-2018,13.7225,14.1425,11.085,13.89,13.7225,0.17,1.22
10-SEP-2018,13.89,15.315,12.61,15.2025,13.89,1.31,9.45
11-SEP-2018,15.2025,15.4475,13.4425,15.33,15.2025,0.13,0.84
12-SEP-2018,15.33,15.33,12.98,14.25,15.33,-1.08,-7.05
14-SEP-2018,14.25,14.25,12.3225,13.8425,14.25,-0.41,-2.86
17-SEP-2018,13.8425,14.635,11.73,14.495,13.8425,0.65,4.71
18-SEP-2018,14.495,14.62,11.8725,14.415,14.495,-0.08,-0.55
19-SEP-2018,14.415,14.4775,11.745,14.005,14.415,-0.41,-2.84
21-SEP-2018,14.005,16.92,10.9825,15.535,14.005,1.53,10.92
24-SEP-2018,15.535,17.855,13.8025,17.4275,15.535,1.89,12.18
25-SEP-2018,17.4275,18.31,16.2175,16.6825,17.4275,-0.74,-4.27
26-SEP-2018,16.6825,17.575,15.1,17.0875,16.6825,0.40,2.43
27-SEP-2018,17.0875,17.37,15.6025,16.9225,17.0875,-0.16,-0.97
28-SEP-2018,16.9225,17.6925,15.925,16.995,16.9225,0.07,0.43
01-OCT-2018,16.995,18.8625,16.27,16.835,16.995,-0.16,-0.94
03-OCT-2018,16.835,18.6475,15.575,18.1175,16.835,1.28,7.62
04-OCT-2018,18.1175,19.685,17.485,18.915,18.1175,0.80,4.40
05-OCT-2018,18.915,20.4825,18.4525,19.7325,18.915,0.82,4.32
08-OCT-2018,19.7325,21.765,18.4775,20.1475,19.7325,0.41,2.10
09-OCT-2018,20.1475,20.3575,17.47,19.755,20.1475,-0.39,-1.95
10-OCT-2018,19.755,19.755,17.725,17.9075,19.755,-1.85,-9.35
11-OCT-2018,17.9075,20.845,17.6275,20.5475,17.9075,2.64,14.74
12-OCT-2018,20.5475,20.5475,16.6725,18.6275,20.5475,-1.92,-9.34
15-OCT-2018,18.6275,19.8225,15.9825,18.885,18.6275,0.26,1.38
16-OCT-2018,18.885,18.885,14.28,17.3725,18.885,-1.51,-8.01
17-OCT-2018,17.3725,18.2025,14.8425,17.98,17.3725,0.61,3.50
19-OCT-2018,17.98,20.0525,17.4475,19.7875,17.98,1.81,10.05
22-OCT-2018,19.7875,21.6725,17.08,21.3575,19.7875,1.57,7.93
23-OCT-2018,21.3575,22.3475,18.7625,19.0375,21.3575,-2.32,-10.86
24-OCT-2018,19.0375,19.81,17.7125,18.88,19.0375,-0.16,-0.83
25-OCT-2018,18.88,20.33,18.4975,18.9625,18.88,0.08,0.44
26-OCT-2018,18.9625,21.04,18.66,19.2325,18.9625,0.27,1.42
29-OCT-2018,19.2325,20.8125,19.2325,19.825,19.2325,0.59,3.08
30-OCT-2018,19.825,20.7725,19.55,20.5025,19.825,0.68,3.42
31-OCT-2018,20.5025,22.815,19.575,19.7975,20.5025,-0.71,-3.44
01-NOV-2018,19.7975,20.13,18.8975,19.1925,19.7975,-0.61,-3.06
02-NOV-2018,19.1925,19.1925,17.485,18.23,19.1925,-0.96,-5.01
05-NOV-2018,18.23,19.8225,17.735,19.4825,18.23,1.25,6.87
06-NOV-2018,19.4825,19.4825,16.18,18.505,19.4825,-0.98,-5.02
07-NOV-2018,18.505,18.505,16.81,17.8775,18.505,-0.63,-3.39
09-NOV-2018,17.8775,18.755,16.755,17.765,17.8775,-0.11,-0.63
12-NOV-2018,17.765,19.4625,16.475,19.3675,17.765,1.60,9.02
13-NOV-2018,19.3675,19.685,17.1225,18.695,19.3675,-0.67,-3.47
14-NOV-2018,18.695,19.5075,14.77,18.825,18.695,0.13,0.70
15-NOV-2018,18.825,18.915,15.4975,18.455,18.825,-0.37,-1.97
16-NOV-2018,18.455,18.8675,16.8975,18.35,18.455,-0.10,-0.57
19-NOV-2018,18.35,19.65,13.515,19.255,18.35,0.90,4.93
20-NOV-2018,19.255,19.6475,18.2525,19.3275,19.255,0.07,0.38
21-NOV-2018,19.3275,20.0975,15.54,19.555,19.3275,0.23,1.18
22-NOV-2018,19.555,20.0025,17.0875,19.16,19.555,-0.39,-2.02
26-NOV-2018,19.16,20.5275,15.0175,20.4025,19.16,1.24,6.48
27-NOV-2018,20.4025,20.4025,16.605,18.315,20.4025,-2.09,-10.23
28-NOV-2018,18.315,19.355,16.6725,17.96,18.315,-0.36,-1.94
29-NOV-2018,17.96,18.85,14.93,18.6975,17.96,0.74,4.11
30-NOV-2018,18.6975,19.915,16.81,19.1625,18.6975,0.46,2.49
03-DEC-2018,19.1625,19.605,16.31,18.2225,19.1625,-0.94,-4.91
04-DEC-2018,18.2225,19.62,16.905,18.1075,18.2225,-0.11,-0.63
05-DEC-2018,18.1075,18.8275,16.62,18.39,18.1075,0.28,1.56
06-DEC-2018,18.39,19.55,15.91,19.305,18.39,0.91,4.98
07-DEC-2018,19.305,19.6275,15.9825,18.59,19.305,-0.71,-3.70
10-DEC-2018,18.59,20.645,16.89,20.4375,18.59,1.85,9.94
11-DEC-2018,20.4375,20.4375,17.2025,17.945,20.4375,-2.49,-12.20
12-DEC-2018,17.945,17.945,15.4175,15.81,17.945,-2.13,-11.90
13-DEC-2018,15.81,15.905,11.9125,15.55,15.81,-0.26,-1.64
14-DEC-2018,15.55,15.5975,12.6725,15.1575,15.55,-0.39,-2.52
17-DEC-2018,15.1575,15.9125,13.8675,14.54,15.1575,-0.62,-4.07
18-DEC-2018,14.54,15.3125,11.9825,14.5775,14.54,0.04,0.26
19-DEC-2018,14.5775,14.865,11.87,14.66,14.5775,0.08,0.57
20-DEC-2018,14.66,14.9175,13.72,14.3325,14.66,-0.33,-2.23
21-DEC-2018,14.3325,16.23,12.94,15.9925,14.3325,1.66,11.58
24-DEC-2018,15.9925,17.1325,14.8975,15.75,15.9925,-0.24,-1.52
26-DEC-2018,15.75,17.4775,14.8075,15.92,15.75,0.17,1.08
27-DEC-2018,15.92,16.375,12.5625,16.0725,15.92,0.15,0.96
28-DEC-2018,16.0725,16.0725,15.015,15.27,16.0725,-0.80,-4.99
31-DEC-2018,15.27,16.1525,14.65,16,15.27,0.73,4.78
01-JAN-2019,16,16.4,15.15,15.325,16,-0.68,-4.22
02-JAN-2019,15.325,16.9475,14.8375,16.3875,15.325,1.06,6.93
03-JAN-2019,16.3875,17.1475,15.435,16.79,16.3875,0.40,2.46
04-JAN-2019,16.79,16.9725,15.485,16.1625,16.79,-0.63,-3.74
07-JAN-2019,16.1625,16.455,15.3025,16.3025,16.1625,0.14,0.87
08-JAN-2019,16.3025,16.5725,14.735,15.7,16.3025,-0.60,-3.70
09-JAN-2019,15.7,16.3225,13.895,15.27,15.7,-0.43,-2.74
10-JAN-2019,15.27,15.6075,14.1475,15.345,15.27,0.08,0.49
11-JAN-2019,15.345,15.83,14.3625,15.3525,15.345,0.01,0.05
14-JAN-2019,15.3525,16.5525,15.3525,16.1575,15.3525,0.80,5.24
15-JAN-2019,16.1575,16.1575,12.9925,15.5825,16.1575,-0.57,-3.56
16-JAN-2019,15.5825,16.3075,12.8,16.0775,15.5825,0.50,3.18
17-JAN-2019,16.0775,16.4275,12.9925,16.2425,16.0775,0.16,1.03
18-JAN-2019,16.2425,16.905,12.3075,16.6175,16.2425,0.38,2.31
21-JAN-2019,16.6175,18.34,14.36,18.1475,16.6175,1.53,9.21
22-JAN-2019,18.1475,18.4725,15.51,17.985,18.1475,-0.16,-0.90
23-JAN-2019,17.985,18.2875,12.015,18.085,17.985,0.10,0.56
24-JAN-2019,18.085,18.3775,14.5425,17.435,18.085,-0.65,-3.59
25-JAN-2019,17.435,18.14,14.365,17.69,17.435,0.26,1.46
28-JAN-2019,17.69,19.28,14.5875,18.8975,17.69,1.21,6.83
29-JAN-2019,18.8975,19.795,18.04,18.4275,18.8975,-0.47,-2.49
30-JAN-2019,18.4275,18.4275,15.9775,17.85,18.4275,-0.58,-3.13
31-JAN-2019,17.85,17.85,16.445,17.1225,17.85,-0.73,-4.08
01-FEB-2019,17.1225,17.185,15.545,15.72,17.1225,-1.40,-8.19
04-FEB-2019,15.72,16.4525,14.9675,15.7225,15.72,0.00,0.02
05-FEB-2019,15.7225,15.9775,14.605,15.78,15.7225,0.06,0.37
06-FEB-2019,15.78,15.9725,12.8325,15.63,15.78,-0.15,-0.95
07-FEB-2019,15.63,16.2225,13.5975,15.435,15.63,-0.20,-1.25
08-FEB-2019,15.435,15.815,12.9675,15.5675,15.435,0.13,0.86
11-FEB-2019,15.5675,16.355,13.46,15.84,15.5675,0.27,1.75
12-FEB-2019,15.84,15.975,13.23,15.75,15.84,-0.09,-0.57
13-FEB-2019,15.75,15.9025,11.81,15.73,15.75,-0.02,-0.13
14-FEB-2019,15.73,16.5775,12.09,15.7725,15.73,0.04,0.27
15-FEB-2019,15.7725,17.535,12.4475,16.46,15.7725,0.69,4.36
18-FEB-2019,16.46,18.1925,11.85,18,16.46,1.54,9.36
19-FEB-2019,18,18.605,15.2575,18.4675,18,0.47,2.60
20-FEB-2019,18.4675,18.4675,15.2375,17.055,18.4675,-1.41,-7.65
21-FEB-2019,17.055,17.1725,12.1275,16.0525,17.055,-1.00,-5.88
22-FEB-2019,16.0525,16.0525,12.315,15.45,16.0525,-0.60,-3.75
25-FEB-2019,15.45,16.035,11.7,15.3575,15.45,-0.09,-0.60
26-FEB-2019,15.3575,18.0975,13.12,17.115,15.3575,1.76,11.44
27-FEB-2019,17.115,19.9775,14.13,18.8975,17.115,1.78,10.41
28-FEB-2019,18.8975,18.8975,17.065,18.2775,18.8975,-0.62,-3.28
01-MAR-2019,18.2775,18.2775,15.895,16.275,18.2775,-2.00,-10.96
05-MAR-2019,16.275,16.86,15.45,15.6575,16.275,-0.62,-3.79
06-MAR-2019,15.6575,15.735,14.2875,15.61,15.6575,-0.05,-0.30
07-MAR-2019,15.61,15.6875,14.3125,15.2925,15.61,-0.32,-2.03
08-MAR-2019,15.2925,15.4125,12.92,14.94,15.2925,-0.35,-2.31
11-MAR-2019,14.94,15.38,13.67,14.895,14.94,-0.04,-0.30
12-MAR-2019,14.895,15.1975,13.84,15.0975,14.895,0.20,1.36
13-MAR-2019,15.0975,15.595,12.3,15.2775,15.0975,0.18,1.19
14-MAR-2019,15.2775,15.5225,13.7625,15.15,15.2775,-0.13,-0.83
15-MAR-2019,15.15,16.3925,11.845,15.865,15.15,0.71,4.72
18-MAR-2019,15.865,17.1875,14.2675,16.9,15.865,1.03,6.52
19-MAR-2019,16.9,17.1775,14.55,16.4925,16.9,-0.41,-2.41
20-MAR-2019,16.4925,16.4925,14.485,16.0325,16.4925,-0.46,-2.79
22-MAR-2019,16.0325,16.805,12.675,16.275,16.0325,0.24,1.51
25-MAR-2019,16.275,17.0275,14.2575,16.6725,16.275,0.40,2.44
26-MAR-2019,16.6725,16.6725,15.5175,16.485,16.6725,-0.19,-1.12
27-MAR-2019,16.485,17.4225,14.545,17.0475,16.485,0.56,3.41
28-MAR-2019,17.0475,17.3325,15.75,16.6525,17.0475,-0.39,-2.32
29-MAR-2019,16.6525,17.43,16.2375,17.185,16.6525,0.53,3.20